SDSS J170246.09+602818.9 0.0689    69.   6.  b 3270  160 42.67 0.16 6.9       0.2
SDSS J172759.15+542147.0 0.0995    58.   7.  b  810  400 42.19 0.09 5.6       0.5
SDSS J215658.30+110343.1 0.108     81.   8.  b 1430  280 41.22 0.03 6.3       0.8
SDSS J232159.06+000738.8 0.184     81.   9.  b 2520  120 42.96 0.10 6.7       0.2
SDSS J233837.10-002810.3 0.0356    58.   4.  b 1740   86 43.61 0.13 5.8       0.1
3C 120                   0.0330   162.  24.  b                      7.43 0.20 0.25
3C 390.3                 0.0561   268.  15.                         8.52 0.09 0.12
Akn 120                  0.0323   224.  15.                         8.20 0.05 0.07
Mrk 79                   0.0222   130.  10.                         7.67 0.11 0.15
Mrk 110                  0.0353    87.1 12.                         6.97 0.11 0.15
Mrk 279                  0.0305   197.  12.                         7.45 0.12 0.16
Mrk 590                  0.0264   189.   5.7                        7.20 0.11 0.15
Mrk 817                  0.0315   127.  12.                         7.62 0.08 0.10
NGC 3227                 0.00386  135.   3.8                        7.47 0.24 1.06
NGC 3516                 0.00884  181.   4.9 b                      7.04 0.31 0.39
NGC 3783                 0.00973   95.0 10.                         7.16 0.17 0.23
NGC 4051                 0.00234   88.9  2.9                        5.99 0.17 0.20
NGC 4151                 0.00332   96.8  2.9                        6.91 0.17 0.29
NGC 5548                 0.0172   198.  11.                         7.81 0.02 0.02
NGC 7469                 0.0163   133.   4.8                        6.49 0.16 0.27
POX 52                   0.0218    36.   5.                         5.2       0.3
NGC 4395                 0.000947  30.   5.                         4.9       0.4
