RA,Dec,sigRA,sigDec,epoch,muAcosD,muD,sigMuAcosD,sigMuD,chi2,classMagB,classMagR1,classMagR2,classMagI,meanClass,classB,classR1,classR2,classI,ellipB,ellipR1,ellipR2,ellipI,qualB,qualR1,qualR2,qualI
16.2424608,-24.2745579,1.8334649e-05,1.7188734e-05,1986.1716,-12.361413,7.1846,12.008543,11.501377,0.278293,19.644,18.946,18.977,18.192,2.0,2.0,2.0,2.0,2.0,0.105608,0.096639,0.090148,0.043712,0.0,0.0,0.0,0.0
16.6831519,-3.2556894,3.1512679e-05,3.0366763e-05,1987.8538,-4.010656,2.610726,8.136534,7.756079,0.682514,19.523,18.492,18.595,18.151,1.0,1.0,1.0,1.0,1.0,0.285302,0.27784,0.34723,0.113951,0.0,0.0,0.0,0.0
16.6878513,-40.5721739,1.546986e-05,1.4896903e-05,1985.2002,3.771054,-1.135722,10.256412,9.990157,1.232405,18.601,18.317,18.176,17.843,2.0,2.0,2.0,2.0,2.0,0.075362,0.088356,0.125876,0.099597,0.0,0.0,0.0,0.0
18.4274354,-25.3997851,1.8907607e-05,1.8334649e-05,1986.0376,4.178818,-9.00899,12.724571,12.320374,0.551176,19.586,19.016,19.257,18.626,2.0,2.0,2.0,2.0,2.0,0.039062,0.121034,0.023796,0.241379,0.0,0.0,0.0,0.0
19.4541666,-21.1936705,3.6096341e-05,3.4950426e-05,1990.2219,-13.214913,-65.89967,28.118103,27.22613,1.521231,19.29,19.503,19.156,-99.99999,1.0,1.0,1.0,1.0,0.0,0.24645,0.619572,0.250401,-999999900.0,1024.0,0.0,1024.0,-1.0
19.7385141,-21.6916785,2.4064227e-05,2.2918312e-05,1990.1677,-9.502011,23.055563,19.72407,18.817837,0.983974,19.403,19.218,18.916,19.376,2.0,2.0,2.0,2.0,1.0,0.053691,0.09943,0.286086,0.379265,0.0,0.0,0.0,0.0
20.1319808,-27.0234662,1.1459156e-05,1.3750987e-05,1988.9204,-3.780079,10.660048,9.643282,10.223932,1.901916,15.893,16.196,15.6,14.68,2.0,2.0,2.0,2.0,2.0,0.059071,0.068429,0.094046,0.029017,16.0,0.0,16.0,0.0
21.23909,-51.2211291,1.7761692e-05,1.6615776e-05,1982.2803,-28.30588,-22.933228,13.785961,13.076673,3.319634,19.768,18.44,20.517,18.177,2.0,2.0,2.0,2.0,2.0,0.090271,0.08697,0.282211,0.365861,0.0,0.0,0.0,0.0
21.9772796,-82.1841133,1.9480565e-05,1.9480565e-05,1986.4921,14.885474,-8.068785,10.897358,10.719996,0.127288,19.64,18.171,18.242,17.919,2.0,2.0,2.0,2.0,1.0,0.01861,0.06526,0.058122,0.130081,0.0,0.0,0.0,0.0
23.1811797,-16.9134557,1.7761692e-05,1.7188734e-05,1983.2289,2.466621,2.768417,7.163187,7.025159,0.670639,18.749,18.383,17.822,17.651,2.0,2.0,2.0,2.0,2.0,0.061471,0.130088,0.322587,0.172217,0.0,0.0,0.0,0.0
23.273937,-52.0010685,1.4896903e-05,1.3750987e-05,1983.4249,-2.975825,10.012562,9.260477,8.180224,1.793868,18.678,17.896,17.92,17.706,2.0,2.0,2.0,2.0,2.0,0.142606,0.038411,0.080521,0.27453,0.0,0.0,0.0,0.0
23.4902818,-36.4931608,1.546986e-05,1.3178029e-05,1990.6151,63.553555,115.64866,12.635873,11.634187,9.227968,8.693,14.728,12.726,-99.99999,1.0,2.0,1.0,1.0,0.0,0.144068,0.327601,0.153206,-999999900.0,16.0,1024.0,16.0,-1.0
23.6334348,-38.7258931,1.3178029e-05,1.2605071e-05,1984.3717,2.817094,-1.591665,10.188546,8.475888,1.74106,17.758,17.372,17.463,17.36,2.0,2.0,2.0,2.0,2.0,0.113978,0.029822,0.050336,0.206358,0.0,0.0,16.0,0.0
24.4097548,-24.5149492,1.0886198e-05,1.2032114e-05,1989.0259,-8.798086,6.559231,8.565096,8.52566,1.553996,17.468,16.651,17.103,16.783,2.0,2.0,2.0,2.0,2.0,0.032724,0.068057,0.088343,0.178514,0.0,0.0,16.0,0.0
25.7922039,-32.015695,2.2345354e-05,1.8907607e-05,1988.1293,-3.625613,-6.202239,11.928145,10.268308,0.621429,19.89,-99.99999,17.276,18.227,1.0,2.0,0.0,2.0,1.0,0.104029,-999999900.0,0.122906,0.21649,0.0,-1.0,0.0,0.0
26.264041,-27.5595524,2.0053523e-05,1.8907607e-05,1986.334,27.006607,33.217476,9.522577,9.048162,15.596996,18.798,-99.99999,17.982,17.822,1.0,1.0,0.0,2.0,2.0,0.534036,-999999900.0,0.042494,0.081706,0.0,-1.0,0.0,0.0
27.587377,-33.6402217,1.4323945e-05,1.3178029e-05,1987.9628,-8.357629,-0.004561,10.24173,8.654144,1.552416,18.651,17.395,17.611,16.901,1.0,2.0,2.0,2.0,2.0,0.059673,0.074348,0.044178,0.070505,0.0,0.0,0.0,0.0
28.292142,-33.1738266,1.6042818e-05,1.6042818e-05,1991.705,-7.651329,1.481898,9.476509,8.758188,0.77819,17.754,17.446,17.679,17.361,2.0,2.0,2.0,2.0,2.0,0.104468,0.04828,0.079002,0.122191,16.0,0.0,0.0,0.0
29.656582,-39.5409336,2.2345354e-05,2.1772396e-05,1985.4791,-2.03395,2.944585,10.558661,10.275729,0.426265,19.363,-99.99999,18.797,18.244,1.0,1.0,0.0,1.0,1.0,0.424408,-999999900.0,0.293814,0.463086,0.0,-1.0,0.0,0.0
31.2402906,-17.0221435,1.6615776e-05,1.6615776e-05,1984.4347,-0.101303,0.72627,6.794277,6.222597,0.828665,18.183,17.297,16.917,17.312,2.0,2.0,2.0,2.0,2.0,0.068858,0.042304,0.190359,0.146209,0.0,0.0,0.0,0.0
31.9998859,-62.2739818,1.1459156e-05,1.031324e-05,1988.8639,27.859129,-30.733755,23.372805,22.184683,0.588704,15.917,14.875,14.944,14.549,2.0,2.0,2.0,2.0,2.0,0.119797,0.019829,0.104565,0.077732,1040.0,16.0,16.0,16.0
32.6924578,-51.0171739,9.1673247e-06,9.7402825e-06,1978.8381,5.441234,0.774268,13.601322,9.75552,0.230599,17.101,15.861,15.568,15.303,2.0,2.0,2.0,2.0,2.0,0.025487,0.018093,0.076443,0.082,16.0,16.0,16.0,16.0
34.2007996,-32.7947331,1.8334649e-05,1.7188734e-05,1990.6171,-4.917397,-3.736344,8.375905,7.670259,2.05595,18.875,18.295,17.841,17.699,2.0,2.0,2.0,2.0,2.0,0.143566,0.1393,0.037302,0.130435,0.0,0.0,0.0,0.0
37.3955894,-78.7959898,1.9480565e-05,2.0626481e-05,1984.7621,-7.548854,-7.359096,11.535356,12.129663,0.964524,19.253,18.893,18.664,18.93,2.0,2.0,2.0,2.0,1.0,0.10169,0.142344,0.147395,0.557011,0.0,0.0,0.0,0.0
37.7991207,-47.7698256,1.9480565e-05,1.7188734e-05,1987.2389,-7.125541,-1.112027,8.639323,7.4951,0.963549,17.872,17.747,17.956,17.606,2.0,2.0,2.0,2.0,2.0,0.064682,0.116863,0.254266,0.203385,16.0,0.0,0.0,0.0
38.1664542,-11.3382509,1.6615776e-05,1.6042818e-05,1994.8202,1.547861,-12.070047,7.64181,7.465734,0.260841,15.757,14.79,14.816,14.332,2.0,2.0,2.0,2.0,2.0,0.126364,0.034389,0.041851,0.006917,1040.0,0.0,1040.0,16.0
39.1298404,-29.8987769,1.7188734e-05,1.6042818e-05,1989.5448,4.570115,-3.324105,10.919686,10.235049,1.126007,18.632,18.296,18.207,18.091,2.0,2.0,2.0,2.0,2.0,0.109192,0.166982,0.062792,0.373623,0.0,0.0,0.0,0.0
39.2218877,-61.6042021,2.2345354e-05,2.0626481e-05,1983.1744,10.444301,-9.725715,10.716,9.892647,0.705904,18.181,17.66,18.249,18.441,1.0,2.0,1.0,1.0,1.0,0.069193,0.09395,0.105135,0.406242,1024.0,0.0,1024.0,0.0
40.0340268,-23.1543458,8.5943669e-06,1.0886198e-05,1984.6888,-1.007138,5.24091,8.351725,8.748509,1.246087,16.571,16.161,16.116,15.695,2.0,2.0,2.0,2.0,2.0,0.012443,0.047863,0.074991,0.060549,16.0,0.0,16.0,16.0
41.4752901,-44.9942645,1.2032114e-05,1.2032114e-05,1987.5063,-2.734426,1.007475,6.388013,6.491594,0.742789,17.232,16.158,16.451,15.861,1.0,1.0,1.0,1.0,1.0,0.026809,0.120129,0.05643,0.031829,16.0,16.0,16.0,0.0
42.2596962,-35.2870193,1.6042818e-05,1.546986e-05,1987.5117,6.459877,8.581951,8.979822,8.65841,0.23921,17.901,17.893,17.276,17.319,1.0,2.0,1.0,2.0,1.0,0.056541,0.156332,0.033139,0.141856,0.0,0.0,0.0,0.0
43.3716016,-54.6976319,1.546986e-05,1.2032114e-05,1988.7528,5.011406,-3.546798,7.795379,6.012639,0.732123,17.65,17.938,16.962,16.505,2.0,2.0,2.0,2.0,2.0,0.138584,0.080315,0.064036,0.193712,0.0,0.0,0.0,0.0
45.9609108,-62.1903924,1.4896903e-05,1.4896903e-05,1984.813,-4.50943,-4.823579,9.625374,9.415443,0.161355,19.475,18.165,18.213,17.398,2.0,2.0,2.0,2.0,2.0,0.064459,0.033639,0.120452,0.174132,0.0,0.0,0.0,0.0
47.260402,-36.0676869,1.6615776e-05,1.546986e-05,1987.7034,0.29222,-0.630008,8.327869,7.868681,0.630512,18.559,17.955,17.896,17.834,2.0,2.0,2.0,2.0,2.0,0.113388,0.032616,0.107896,0.131864,1024.0,0.0,0.0,0.0
47.4836532,-60.9774871,1.546986e-05,1.4896903e-05,1984.0319,-1.082567,-8.433158,9.704201,9.400787,0.230031,19.005,18.181,18.188,17.934,2.0,2.0,2.0,2.0,2.0,0.074412,0.062586,0.239594,0.278849,0.0,0.0,0.0,0.0
47.9802375,-76.8640546,1.4323945e-05,1.2605071e-05,1989.7273,-16.830673,-15.756057,19.933739,16.962418,1.12337,16.091,16.042,16.82,15.559,1.0,2.0,1.0,1.0,1.0,0.152124,0.234051,0.33047,0.240238,16.0,0.0,0.0,0.0
51.7123299,-53.6170771,2.1772396e-05,2.1772396e-05,1987.9773,-0.949982,-6.60704,12.236803,12.006587,0.559941,19.018,18.719,18.726,18.78,1.0,2.0,1.0,2.0,1.0,0.127194,0.270875,0.287224,0.403846,0.0,0.0,1024.0,1024.0
51.9996247,-22.0350515,1.8907607e-05,1.8334649e-05,1988.1772,-7.273842,7.528091,10.710299,10.208067,0.029934,18.985,18.744,18.316,18.635,2.0,2.0,2.0,2.0,1.0,0.058609,0.180048,0.113232,0.293277,0.0,0.0,0.0,0.0
52.4752547,-23.9524353,2.1199438e-05,2.0053523e-05,1984.2167,-21.222256,-4.258969,12.909137,12.333138,0.916706,19.682,18.74,19.069,19.256,2.0,2.0,2.0,2.0,2.0,0.064257,0.098273,0.223487,0.384796,0.0,0.0,0.0,0.0
53.5568552,-40.1403929,1.1459156e-05,9.7402825e-06,1989.2123,5.798507,-7.037835,8.293219,6.633985,0.281172,17.507,17.205,15.904,17.548,2.0,2.0,2.0,2.0,2.0,0.019032,0.054514,0.133346,0.056649,0.0,0.0,0.0,0.0
54.225085,-36.2683923,1.4323945e-05,1.3750987e-05,1983.768,-2.651419,-12.225195,9.716498,8.925487,2.768205,18.397,17.954,18.081,17.353,2.0,2.0,2.0,2.0,2.0,0.026581,0.073048,0.23061,0.223322,0.0,1024.0,1024.0,1024.0
55.1483331,-21.325296,1.2032114e-05,1.2032114e-05,1990.0582,-5.217896,1.697841,6.704575,6.643017,0.992976,16.044,15.479,16.115,15.534,2.0,2.0,2.0,2.0,2.0,0.122177,0.137657,0.15117,0.19284,16.0,16.0,16.0,16.0
56.7555439,-29.0078608,1.2605071e-05,1.2605071e-05,1985.5508,195.30354,2.566553,7.567676,7.372582,742.7234,16.528,16.043,16.406,16.428,1.0,1.0,1.0,1.0,1.0,0.49786,0.443229,0.469084,0.448876,16.0,16.0,16.0,0.0
57.1637534,-16.1716421,1.8907607e-05,1.9480565e-05,1980.939,19.905912,-5.952344,7.301856,7.307687,17.400457,17.978,15.934,17.576,16.558,1.0,1.0,2.0,1.0,1.0,0.320689,0.035786,0.479241,0.098825,1024.0,0.0,1040.0,0.0
57.943946,-27.7224947,1.7761692e-05,1.7188734e-05,1986.6134,25.326614,14.45854,11.277503,10.983278,0.443254,19.007,17.446,17.663,17.28,1.0,1.0,1.0,1.0,1.0,0.081268,0.186514,0.113167,0.127224,0.0,0.0,0.0,0.0
57.9994932,-20.4809201,2.0053523e-05,1.9480565e-05,1987.0388,-5.404196,4.984026,8.301793,8.014186,0.758779,19.378,19.011,18.977,18.789,2.0,2.0,2.0,2.0,1.0,0.104949,0.107166,0.068291,0.455758,0.0,0.0,0.0,0.0
58.0460895,-25.2473039,2.4064227e-05,2.349127e-05,1985.9178,14.769398,6.722088,12.656562,12.346022,0.311483,19.582,18.591,18.41,18.26,1.0,2.0,1.0,2.0,1.0,0.23595,0.352685,0.270586,0.289173,0.0,0.0,0.0,0.0
60.9739233,-36.0838781,1.0886198e-05,9.7402825e-06,1990.4989,-6.576098,0.066384,6.326893,6.301766,0.32505,17.037,16.379,16.722,15.729,2.0,2.0,2.0,2.0,2.0,0.039006,0.085298,0.07787,0.053364,1024.0,16.0,1024.0,0.0
61.745902,-38.4411073,1.6615776e-05,1.546986e-05,1986.7482,4.842784,-12.195257,9.829668,9.092339,0.515152,19.545,18.047,18.342,17.896,2.0,2.0,2.0,2.0,2.0,0.083232,0.171444,0.098166,0.195524,0.0,0.0,0.0,0.0
61.8912448,-33.062863,1.9480565e-05,1.8907607e-05,1987.5045,5.526016,-9.052974,11.118397,10.806079,1.517417,19.325,18.696,18.894,18.951,2.0,2.0,2.0,2.0,1.0,0.18025,0.178623,0.188904,0.246706,1024.0,0.0,0.0,0.0
62.2221892,-75.121364,1.031324e-05,1.0886198e-05,1984.9014,-1.896692,5.042246,5.734003,6.001145,0.86994,19.053,17.18,17.269,16.299,2.0,2.0,2.0,2.0,2.0,0.25369,0.078871,0.053148,0.18001,0.0,16.0,0.0,0.0
64.1522234,-18.8521558,2.2345354e-05,2.1772396e-05,1988.6313,-1.53716,-3.429928,8.528748,8.370603,0.519433,18.894,19.436,18.766,18.732,2.0,2.0,2.0,2.0,2.0,0.057615,0.406304,0.147977,0.343986,0.0,0.0,0.0,0.0
66.1759578,-37.9390725,1.546986e-05,1.6042818e-05,1987.492,0.673236,3.19281,8.257105,8.341377,0.253288,17.959,17.09,17.573,18.168,2.0,2.0,2.0,2.0,1.0,0.107829,0.079185,0.09687,0.319388,0.0,0.0,0.0,1024.0
67.1683723,-37.9387384,1.7188734e-05,1.6615776e-05,1988.9868,-4.179706,3.666843,8.466904,8.156444,0.24813,18.96,16.189,17.364,17.672,2.0,2.0,2.0,2.0,1.0,0.130631,0.016537,0.067387,0.398896,0.0,0.0,0.0,0.0
67.3129851,-78.9055961,9.7402825e-06,1.1459156e-05,1988.6824,3.510516,3.9452,6.034119,7.122406,1.282956,17.706,17.001,16.874,16.641,2.0,2.0,2.0,2.0,2.0,0.022114,0.087376,0.077518,0.083102,0.0,0.0,0.0,0.0
69.2561365,-18.7467906,1.7761692e-05,1.8334649e-05,1987.1091,-17.69815,11.483811,12.083486,12.266287,0.421061,19.114,18.885,19.057,18.728,2.0,2.0,2.0,2.0,2.0,0.10724,0.195379,0.200331,0.255446,0.0,0.0,0.0,0.0
69.4076913,-29.8987964,2.5783101e-05,2.6929016e-05,1980.1976,-53.870487,352.90018,22.933222,22.628223,-999999900.0,16.862,-99.99999,20.578,-99.99999,1.0,1.0,0.0,4.0,0.0,0.229721,-999999900.0,0.275339,-999999900.0,1040.0,-1.0,1024.0,-1.0
70.0715082,-43.5523755,1.6615776e-05,1.7188734e-05,1986.2234,1.102047,3.976885,11.151829,11.227703,0.289966,19.305,18.002,18.744,18.705,2.0,2.0,2.0,2.0,1.0,0.067863,0.098135,0.046518,0.2967,0.0,0.0,0.0,0.0
70.198663,-69.8716829,2.2345354e-05,2.2345354e-05,1980.3182,0.155779,-9.453441,12.436345,12.632716,0.634181,19.335,20.372,19.014,19.029,1.0,2.0,2.0,2.0,1.0,0.233285,0.392308,0.427922,0.222018,0.0,0.0,0.0,0.0
70.6885597,-68.3108129,2.9220848e-05,2.9793805e-05,1984.7811,-35.510185,12.528788,18.222248,18.291927,0.781981,18.418,17.122,18.956,19.59,1.0,1.0,1.0,1.0,1.0,0.267946,0.404604,0.491931,0.483814,0.0,0.0,0.0,0.0
72.5225397,-81.0172636,1.8907607e-05,2.1772396e-05,1985.7473,-4.880948,-17.11914,10.255209,12.322058,1.196631,19.31,18.719,18.532,19.546,1.0,2.0,2.0,2.0,1.0,0.133316,0.181962,0.057826,0.424498,0.0,0.0,0.0,0.0
73.310999,-28.127019,1.3178029e-05,1.3178029e-05,1989.3705,-4.32333,-4.304184,6.134345,5.826632,0.409266,18.233,17.879,18.0,17.364,2.0,2.0,2.0,2.0,2.0,0.176146,0.018365,0.20138,0.090263,0.0,0.0,0.0,0.0
73.9614602,-46.2662285,1.0886198e-05,1.1459156e-05,1987.1959,-2.186479,-3.182744,5.253576,5.838857,1.045753,17.891,17.107,17.996,17.456,2.0,2.0,2.0,2.0,2.0,0.05432,0.039438,0.156445,0.223996,0.0,0.0,0.0,0.0
73.9714457,-69.028254,1.4896903e-05,1.4896903e-05,1984.1649,76.57278,51.548855,12.985002,13.733419,10.868937,18.038,16.334,16.111,17.544,2.0,2.0,2.0,2.0,1.0,0.398659,0.368302,0.481002,0.491387,1024.0,0.0,0.0,0.0
74.2631689,-23.4144274,1.2032114e-05,1.2032114e-05,1991.2444,10.15068,3.384532,5.607752,5.576429,1.370859,18.851,18.073,17.904,14.165,2.0,2.0,2.0,2.0,2.0,0.199068,0.109054,0.033109,0.146815,0.0,0.0,0.0,16.0
75.2817687,-30.7963973,2.6929016e-05,2.6929016e-05,1986.8988,7.075097,5.026913,10.856895,11.148455,2.866171,19.318,18.848,19.093,18.955,1.0,1.0,1.0,1.0,1.0,0.178127,0.067052,0.045228,0.403106,0.0,0.0,0.0,0.0
76.1436748,-7.7435435,2.1199438e-05,2.1772396e-05,1983.6252,0.124294,5.789231,7.209266,7.261196,0.511809,19.656,18.636,18.932,18.586,2.0,2.0,2.0,2.0,1.0,0.13807,0.15799,0.273518,0.279799,0.0,0.0,0.0,0.0
76.6832939,-61.1614106,9.7402825e-06,1.031324e-05,1988.9219,14.109913,-2.200857,6.054894,7.058773,6.19386,17.157,16.908,17.072,16.693,2.0,2.0,2.0,1.0,2.0,0.1,0.118182,0.382157,0.144317,0.0,0.0,16.0,0.0
78.0160636,-73.5485295,9.7402825e-06,1.031324e-05,1983.0343,5.825656,2.352851,7.33347,7.956405,0.547908,17.578,16.61,16.6,16.133,2.0,2.0,2.0,2.0,2.0,0.146259,0.071909,0.140336,0.06382,0.0,0.0,0.0,0.0
78.4542669,-21.9876719,2.9793805e-05,2.9220848e-05,1987.3782,-135.64745,25.654093,15.381392,14.915586,11.960622,19.787,18.554,19.672,19.555,1.0,1.0,1.0,1.0,2.0,0.132031,0.419412,0.517185,0.467159,0.0,0.0,0.0,0.0
78.9384283,-45.9453418,1.4896903e-05,1.4896903e-05,1987.5361,2.984524,-7.036636,6.325036,6.261712,0.684363,17.989,17.092,17.354,16.765,1.0,1.0,1.0,1.0,1.0,0.144046,0.230679,0.232464,0.128076,0.0,0.0,0.0,0.0
79.1824739,-62.1139982,1.3750987e-05,1.4323945e-05,1989.4233,1.066962,-13.384846,7.146003,7.911895,0.282987,19.23,18.194,18.08,17.619,2.0,2.0,2.0,2.0,2.0,0.089624,0.176491,0.102182,0.057662,0.0,0.0,0.0,0.0
79.9570349,-45.7788162,1.2032114e-05,1.2032114e-05,1989.1139,-6.902283,-7.764929,5.471925,5.330717,7.127621,16.03,15.165,15.231,15.005,1.0,1.0,1.0,1.0,1.0,0.331739,0.307951,0.328532,0.23369,16.0,16.0,0.0,16.0
80.643294,-61.1325249,1.2605071e-05,1.3178029e-05,1988.5939,-10.910673,-1.675626,6.738898,7.432888,0.40528,18.461,17.902,18.147,17.901,2.0,2.0,2.0,2.0,2.0,0.19466,0.166332,0.148765,0.305822,0.0,0.0,0.0,0.0
80.741582,-36.4585186,1.2032114e-05,1.2032114e-05,1990.914,-11.945287,-9.620039,6.47634,6.815414,0.383692,15.959,14.827,15.033,14.415,1.0,1.0,1.0,1.0,1.0,0.183586,0.273368,0.150218,0.19547,16.0,16.0,16.0,16.0
80.8270353,-26.2358326,2.2345354e-05,2.1772396e-05,1988.2325,2.390937,8.596689,9.747183,9.620029,0.856542,19.239,18.061,18.615,18.67,1.0,1.0,1.0,1.0,1.0,0.289877,0.457453,0.416246,0.332992,0.0,0.0,0.0,0.0
81.2770535,-23.6362864,1.0886198e-05,1.1459156e-05,1989.5769,-2.455888,2.409774,4.618494,4.883129,0.3666,18.362,17.638,17.574,17.214,2.0,2.0,2.0,2.0,2.0,0.148212,0.079741,0.176314,0.067512,0.0,0.0,0.0,0.0
82.0357717,-65.0689948,1.7761692e-05,1.7761692e-05,1983.1227,2.797548,-3.327923,9.215271,9.307915,1.705993,19.018,17.34,17.324,16.81,2.0,2.0,2.0,2.0,2.0,0.29532,0.116788,0.068817,0.346554,0.0,0.0,0.0,0.0
82.3746504,-72.7586075,1.6615776e-05,1.7188734e-05,1981.5427,6.230247,34.57657,11.215911,11.482244,0.385458,19.564,-99.99999,17.639,18.746,2.0,2.0,0.0,2.0,1.0,0.278991,-999999900.0,0.250622,0.460146,0.0,-1.0,0.0,0.0
83.4232491,-72.2778054,1.7188734e-05,1.8334649e-05,1981.4225,18.842236,75.23905,11.890659,12.647943,1.842982,19.631,18.393,18.475,17.917,2.0,2.0,2.0,2.0,2.0,0.432398,0.114498,0.14337,0.176448,0.0,0.0,1024.0,0.0
83.4359293,-72.2726041,2.2345354e-05,2.349127e-05,1980.43,-0.442183,23.052082,14.279602,14.8474,8.090772,19.895,-99.99999,18.637,19.147,2.0,2.0,0.0,2.0,1.0,0.4595,-999999900.0,0.3156,0.391554,1024.0,-1.0,1024.0,0.0
83.7991364,-2.6584107,1.0886198e-05,1.1459156e-05,1987.3357,0.614222,-0.999278,3.28305,3.338953,1.666222,17.238,15.923,16.11,15.6,2.0,2.0,2.0,2.0,2.0,0.040187,0.047193,0.110609,0.138107,1040.0,0.0,0.0,0.0
